,closed,covers,outside,sales
2018-03-14 00:00:00,,167.0,0,13295.0
2018-03-15 00:00:00,,187.0,0,13203.02
2018-03-16 00:00:00,,195.0,0,15502.47
2018-03-17 00:00:00,,212.0,0,17215.66
2018-03-18 00:00:00,,189.0,0,14037.34
2018-03-19 00:00:00,,195.0,0,12737.97
2018-03-20 00:00:00,,175.0,0,12845.02
2018-03-21 00:00:00,,170.0,0,13036.93
2018-03-22 00:00:00,,174.0,0,14031.820000000003
2018-03-23 00:00:00,,205.0,0,16048.579999999998
2018-03-24 00:00:00,,233.0,0,17664.66
2018-03-25 00:00:00,,200.0,0,14533.32
2018-03-26 00:00:00,,172.0,0,11714.67
2018-03-27 00:00:00,,171.0,0,13754.0
2018-03-28 00:00:00,,154.0,0,13569.489999999998
2018-03-29 00:00:00,,197.0,0,14332.87
2018-03-30 00:00:00,,175.0,0,14656.24
2018-03-31 00:00:00,,208.0,0,15249.67
2018-04-01 00:00:00,,227.0,1,15046.22
2018-04-02 00:00:00,,174.0,0,12480.719999999998
2018-04-03 00:00:00,,174.0,0,13825.48
2018-04-04 00:00:00,,178.0,0,13318.67
2018-04-05 00:00:00,,181.0,0,12431.53
2018-04-06 00:00:00,,267.0,1,18609.07
2018-04-07 00:00:00,,253.0,1,19217.6
2018-04-08 00:00:00,,218.0,0,16561.0
2018-04-09 00:00:00,,180.0,0,12958.0
2018-04-10 00:00:00,,180.0,0,14129.44
2018-04-11 00:00:00,,197.0,1,17145.749999999996
2018-04-12 00:00:00,,208.0,1,14746.57
2018-04-13 00:00:00,,288.0,1,22190.31
2018-04-14 00:00:00,,276.0,1,19007.77
2018-04-15 00:00:00,,187.0,0,15019.12
2018-04-16 00:00:00,,180.0,1,18479.83
2018-04-17 00:00:00,,182.0,0,11657.1
2018-04-18 00:00:00,,193.0,1,16056.62
2018-04-19 00:00:00,,168.0,0,14609.5
2018-04-20 00:00:00,,203.0,1,15356.5
2018-04-21 00:00:00,,295.0,1,24282.07
2018-04-22 00:00:00,,230.0,1,18758.61999999999
2018-04-23 00:00:00,,193.0,1,13654.19
2018-04-24 00:00:00,,172.0,1,12074.46
2018-04-25 00:00:00,,177.0,0,14522.48
2018-04-26 00:00:00,,269.0,1,20257.34
2018-04-27 00:00:00,,200.0,0,15075.84
2018-04-28 00:00:00,,269.0,1,21188.16
2018-04-29 00:00:00,,238.0,1,15004.260000000002
2018-04-30 00:00:00,,199.0,0,15611.31
2018-05-01 00:00:00,,235.0,1,17634.510000000002
2018-05-02 00:00:00,,260.0,1,20521.94
2018-05-03 00:00:00,,265.0,1,16680.77
2018-05-04 00:00:00,,281.0,1,21425.9
2018-05-05 00:00:00,,317.0,1,20346.1
2018-05-06 00:00:00,,233.0,1,15222.5
2018-05-07 00:00:00,,249.0,1,17844.809999999998
2018-05-08 00:00:00,,251.0,1,16382.43
2018-05-09 00:00:00,,219.0,1,16113.94
2018-05-10 00:00:00,,229.0,1,15654.999999999995
2018-05-11 00:00:00,,286.0,1,22731.73
2018-05-12 00:00:00,,201.0,0,15829.940000000002
2018-05-13 00:00:00,,194.0,0,13837.93
2018-05-14 00:00:00,,259.0,1,18929.08
2018-05-15 00:00:00,,164.0,0,13352.73
2018-05-16 00:00:00,,188.0,0,18828.09
2018-05-17 00:00:00,,256.0,1,21529.0
2018-05-18 00:00:00,,264.0,1,22387.87
2018-05-19 00:00:00,,239.0,0,16571.239999999998
2018-05-20 00:00:00,,304.0,1,20117.6
2018-05-21 00:00:00,,288.0,1,19246.0
2018-05-22 00:00:00,,192.0,0,16704.53
2018-05-23 00:00:00,,259.0,1,17960.140000000007
2018-05-24 00:00:00,,261.0,1,19722.75
2018-05-25 00:00:00,,298.0,1,21675.5
2018-05-26 00:00:00,,280.0,1,19234.18
2018-05-27 00:00:00,,242.0,1,19327.08
2018-05-28 00:00:00,,251.0,1,17146.93
2018-05-29 00:00:00,,263.0,1,17720.8
2018-05-30 00:00:00,,229.0,1,14912.059999999998
2018-05-31 00:00:00,,171.0,0,13780.36
2018-06-01 00:00:00,,277.0,1,19551.050000000007
2018-06-02 00:00:00,,265.0,1,18325.91
2018-06-03 00:00:00,,257.0,1,16504.33
2018-06-04 00:00:00,,240.0,1,16769.17
2018-06-05 00:00:00,,254.0,1,18304.52
2018-06-06 00:00:00,,233.0,1,15805.22
2018-06-07 00:00:00,,248.0,1,17601.44
2018-06-08 00:00:00,,269.0,1,21328.43
2018-06-09 00:00:00,,299.0,1,21367.95
2018-06-10 00:00:00,,211.0,0,14906.83
2018-06-11 00:00:00,,244.0,1,16658.189999999995
2018-06-12 00:00:00,,251.0,1,18536.7
2018-06-13 00:00:00,,259.0,1,19010.18
2018-06-14 00:00:00,,285.0,1,17594.98
2018-06-15 00:00:00,,253.0,1,20647.76
2018-06-16 00:00:00,,278.0,1,21734.46
2018-06-17 00:00:00,,276.0,1,18795.02
2018-06-18 00:00:00,,236.0,1,16538.61
2018-06-19 00:00:00,,254.0,1,19166.09
2018-06-20 00:00:00,,253.0,1,17807.35
2018-06-21 00:00:00,,240.0,1,20304.76
2018-06-22 00:00:00,,269.0,1,23974.74
2018-06-23 00:00:00,,269.0,1,19985.83
2018-06-24 00:00:00,,267.0,1,17888.939999999995
2018-06-25 00:00:00,,271.0,1,18901.460000000006
2018-06-26 00:00:00,,251.0,1,15597.729999999996
2018-06-27 00:00:00,,203.0,1,14888.95
2018-06-28 00:00:00,,234.0,1,18333.31
2018-06-29 00:00:00,,269.0,1,15604.35
2018-06-30 00:00:00,,279.0,1,21152.63
2018-07-01 00:00:00,,296.0,1,19225.53
