date,covers,net_sales,outside
2018-03-24,223.0,17664.66,0
2018-03-25,198.0,14533.32,0
2018-03-26,168.0,12464.67,0
2018-03-27,169.0,13446.0,0
2018-03-28,148.0,13819.489999999998,0
2018-03-29,193.0,14182.87,0
2018-03-30,172.0,14656.24,0
2018-03-31,202.0,15249.67,0
2018-04-01,225.0,15046.22,1
2018-04-02,168.0,12480.720000000001,0
2018-04-03,171.0,13825.48,0
2018-04-04,173.0,14518.67,0
2018-04-05,179.0,12431.53,0
2018-04-06,254.0,18609.07,1
2018-04-07,247.0,19217.6,1
2018-04-08,214.0,16561.0,0
2018-04-09,178.0,12958.0,0
2018-04-10,180.0,14129.44,0
2018-04-11,191.0,16995.75,1
2018-04-12,206.0,16146.57,1
2018-04-13,274.0,22190.309999999998,1
2018-04-14,262.0,19757.77,1
2018-04-15,184.0,14469.12,0
2018-04-16,168.0,18279.83,1
2018-04-17,182.0,12857.1,0
2018-04-18,193.0,16056.619999999999,1
2018-04-19,166.0,14159.5,0
2018-04-20,203.0,16106.5,1
2018-04-21,265.0,24282.07,1
2018-04-22,214.0,19158.620000000003,1
2018-04-23,181.0,13654.19,1
2018-04-24,165.0,12074.46,1
2018-04-25,175.0,14522.48,0
2018-04-26,263.0,20257.34,1
2018-04-27,193.0,15425.84,0
2018-04-28,259.0,20763.159999999996,1
2018-04-29,238.0,16604.260000000002,1
2018-04-30,192.0,15611.31,0
2018-05-01,216.0,16284.51,1
2018-05-02,256.0,20521.94,1
2018-05-03,225.0,16630.77,1
2018-05-04,268.0,21375.9,1
2018-05-05,276.0,20346.1,1
2018-05-06,227.0,15222.5,1
2018-05-07,241.0,17844.809999999998,1
2018-05-08,235.0,16582.43,1
2018-05-09,214.0,15513.94,1
2018-05-10,220.0,19005.0,1
2018-05-11,267.0,22731.730000000003,1
2018-05-12,196.0,16979.940000000002,0
2018-05-13,194.0,13837.93,0
2018-05-14,253.0,19629.08,1
2018-05-15,159.0,12929.73,0
2018-05-16,175.0,18678.09,0
2018-05-17,241.0,21654.0,1
2018-05-18,260.0,23487.870000000003,1
2018-05-19,224.0,18021.239999999998,0
