date,covers,sales,outside,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature,day_of_week,month,closed,ppa
2019-05-30,180.0,14610.13,0,62.38,0.96,0.3532,07:00PM,1.0,rain,1005.95,rain,61.96,3,5,0,81.16738888888888
2019-05-31,307.0,22367.26,1,76.5,0.5,0.0226,01:00AM,0.0,rain,1007.85,partly-cloudy-day,76.5,4,5,0,72.85752442996743
2019-06-01,334.0,19019.56,1,69.58,0.69,0.0023,12:00AM,0.0,rain,1008.67,partly-cloudy-day,69.58,5,6,0,56.94479041916168
2019-06-02,252.0,17890.58,1,74.59,0.64,0.0729,10:00PM,0.0,rain,1004.36,partly-cloudy-day,74.42,6,6,0,70.99436507936508
2019-06-03,278.0,18854.8,1,68.14,0.29,0.0056,12:00AM,0.0,rain,1014.78,clear-day,68.14,0,6,0,67.82302158273382
2019-06-04,243.0,19001.46,1,70.02,0.37,0.0006,11:00AM,0.0,none,1016.41,partly-cloudy-day,70.02,1,6,0,78.1953086419753
2019-06-05,231.0,15613.58,1,76.16,0.71,0.0003,04:00PM,0.0,none,1007.12,partly-cloudy-day,75.55,2,6,0,67.59125541125542
2019-06-06,253.0,18421.26,1,79.69,0.5,0.0968,01:00AM,0.0,rain,1008.61,partly-cloudy-day,79.68,3,6,0,72.81130434782608
2019-06-07,270.0,21023.88,1,69.93,0.77,0.0004,05:00PM,0.0,rain,1014.18,partly-cloudy-day,69.66,4,6,0,77.86622222222222
2019-06-08,304.0,21201.51,1,71.2,0.4,0.0001,01:00AM,0.0,none,1022.45,partly-cloudy-day,71.2,5,6,0,69.74180921052631
2019-06-09,305.0,20616.1,1,69.7,0.37,0.0,05:01AM,0.0,none,1025.03,clear-day,69.7,6,6,0,67.59377049180327
