date,sales,covers,outside,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,day_of_week,month,closed,sales_per_cover,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot
2017-03-19,14875.57,202.0,0,0.39,0.0004,11:00AM,0.0,none,1020.72,clear-night,6,3,0,73.64143564356435,0.0,0.0,1.0,0.0,0.0
2017-03-20,13641.76,193.0,0,0.35,0.0,05:01AM,0.0,none,1015.34,partly-cloudy-night,0,3,0,70.68269430051814,0.0,0.0,1.0,0.0,0.0
2017-03-21,13840.11,177.0,0,0.45,0.0,05:01AM,0.0,none,1010.79,partly-cloudy-night,1,3,0,78.19271186440679,0.0,0.0,1.0,0.0,0.0
2017-03-22,13219.24,183.0,0,0.28,0.0,05:01AM,0.0,none,1027.34,clear-night,2,3,0,72.23628415300546,1.0,0.0,0.0,0.0,0.0
2017-03-23,10424.55,177.0,0,0.28,0.0,05:01AM,0.0,none,1033.34,clear-night,3,3,0,58.8957627118644,0.0,1.0,0.0,0.0,0.0
2017-03-24,14918.99,198.0,0,0.57,0.0009,02:00PM,0.0,none,1019.9,partly-cloudy-night,4,3,0,75.34843434343435,0.0,0.0,1.0,0.0,0.0
2017-03-25,18004.2,236.0,0,0.83,0.0027,08:00PM,0.28,rain,1026.79,cloudy,5,3,0,76.28898305084746,0.0,0.0,1.0,0.0,0.0
2017-03-26,15594.25,223.0,0,0.86,0.0088,04:00AM,0.0,rain,1028.22,cloudy,6,3,0,69.92937219730942,0.0,1.0,0.0,0.0,0.0
2017-03-27,14012.569999999998,177.0,0,0.87,0.0767,10:00AM,0.0,rain,1015.43,partly-cloudy-night,0,3,0,79.16706214689265,0.0,0.0,1.0,0.0,0.0
2017-03-28,13064.82,197.0,0,0.94,0.0731,12:00PM,1.0,rain,1012.8,rain,1,3,0,66.31888324873097,0.0,0.0,1.0,0.0,0.0
2017-03-29,13911.06,207.0,0,0.41,0.0049,12:00AM,0.0,rain,1020.63,clear-night,2,3,0,67.20318840579709,0.0,0.0,1.0,0.0,0.0
2017-03-30,14750.53,185.0,0,0.59,0.0,12:00AM,0.0,none,1020.61,cloudy,3,3,0,79.7325945945946,0.0,0.0,1.0,0.0,0.0
2017-03-31,14243.56,200.0,0,0.92,0.1174,08:00PM,1.0,rain,1007.4,rain,4,3,0,71.2178,0.0,1.0,0.0,0.0,0.0
2017-04-01,18290.05,234.0,0,0.7,0.0241,12:00AM,0.0,rain,1015.28,cloudy,5,4,0,78.16260683760683,0.0,0.0,1.0,0.0,0.0
2017-04-02,14055.4,204.0,0,0.38,0.0,05:01AM,0.0,none,1017.29,clear-night,6,4,0,68.89901960784313,0.0,0.0,0.0,1.0,0.0
2017-04-03,14837.15,187.0,0,0.61,0.0009,12:00AM,0.0,none,1014.29,cloudy,0,4,0,79.34304812834225,0.0,0.0,1.0,0.0,0.0
2017-04-04,12947.14,207.0,0,0.9,0.3512,04:00AM,0.0,rain,1004.04,cloudy,1,4,0,62.54657004830918,0.0,0.0,1.0,0.0,0.0
2017-04-05,12610.13,179.0,1,0.78,0.0,05:01AM,0.0,none,1014.6,clear-night,2,4,0,70.44765363128491,0.0,0.0,1.0,0.0,0.0
2017-04-06,13564.94,200.0,0,0.95,0.2136,05:00PM,0.0,rain,989.66,partly-cloudy-night,3,4,0,67.8247,0.0,0.0,1.0,0.0,0.0
2017-04-07,15871.63,218.0,0,0.62,0.0011,01:00PM,0.0,rain,1000.67,cloudy,4,4,0,72.80564220183486,0.0,1.0,0.0,0.0,0.0
2017-04-08,16801.92,244.0,0,0.31,0.0,05:01AM,0.0,none,1012.33,clear-night,5,4,0,68.86032786885245,0.0,0.0,1.0,0.0,0.0
2017-04-09,13944.97,213.0,0,0.47,0.0,05:01AM,0.0,none,1020.11,clear-night,6,4,0,65.46934272300469,0.0,0.0,0.0,1.0,0.0
2017-04-10,17458.15,252.0,1,0.42,0.0,05:01AM,0.0,none,1018.69,clear-night,0,4,0,69.27837301587302,0.0,0.0,0.0,1.0,0.0
2017-04-11,15765.8,268.0,1,0.53,0.0,05:01AM,0.0,none,1017.98,clear-night,1,4,0,58.8276119402985,0.0,0.0,0.0,1.0,0.0
2017-04-12,19837.87,278.0,1,0.41,0.009000000000000001,01:00PM,0.0,rain,1021.02,clear-night,2,4,0,71.35924460431654,0.0,0.0,0.0,1.0,0.0
2017-04-13,19152.21,272.0,1,0.33,0.0,05:01AM,0.0,none,1026.83,partly-cloudy-night,3,4,0,70.41253676470588,0.0,0.0,0.0,1.0,0.0
2017-04-14,20412.7,289.0,1,0.46,0.0,05:01AM,0.0,none,1027.68,clear-night,4,4,0,70.63217993079586,0.0,0.0,0.0,1.0,0.0
2017-04-15,21810.18,308.0,1,0.76,0.0,05:01AM,0.0,none,1021.19,cloudy,5,4,0,70.81227272727273,0.0,0.0,0.0,1.0,0.0
2017-04-16,17583.989999999998,318.0,1,0.4,0.0008,06:00PM,0.0,none,1008.37,clear-night,6,4,0,55.295566037735846,0.0,0.0,0.0,0.0,1.0
2017-04-17,15066.579999999998,226.0,1,0.28,0.0,05:01AM,0.0,none,1017.67,clear-night,0,4,0,66.6662831858407,0.0,0.0,0.0,1.0,0.0
2017-04-18,13545.609999999995,199.0,1,0.62,0.0,05:01AM,0.0,none,1030.86,clear-night,1,4,0,68.06839195979897,0.0,0.0,1.0,0.0,0.0
2017-04-19,12013.75,178.0,0,0.8,0.003,10:00PM,0.0,rain,1026.09,cloudy,2,4,0,67.49297752808988,0.0,0.0,1.0,0.0,0.0
