date,sales,closed,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot,precip_while_open,sunday_three_day,sales_trend,day_cluster_0_X_month_cluster_0,day_cluster_0_X_month_cluster_1,day_cluster_0_X_month_cluster_2,day_cluster_1_X_month_cluster_0,day_cluster_1_X_month_cluster_1,day_cluster_1_X_month_cluster_2,day_cluster_2_X_month_cluster_0,day_cluster_2_X_month_cluster_1,day_cluster_2_X_month_cluster_2,day_cluster_3_X_month_cluster_0,day_cluster_3_X_month_cluster_1,day_cluster_3_X_month_cluster_2,day_cluster_4_X_month_cluster_0,day_cluster_4_X_month_cluster_1,day_cluster_4_X_month_cluster_2,day_cluster_5_X_month_cluster_0,day_cluster_5_X_month_cluster_1,day_cluster_5_X_month_cluster_2,day_cluster_6_X_month_cluster_0,day_cluster_6_X_month_cluster_1,day_cluster_6_X_month_cluster_2,temp_very_cold_X_outside,temp_cold_X_outside,temp_warm_X_outside,temp_hot_X_outside,temp_very_hot_X_outside
2017-03-24,14918.99,0,0.0,0.0,1.0,0.0,0.0,0,0,1626.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-25,18004.2,0,0.0,0.0,1.0,0.0,0.0,1,0,4034.890000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-26,15594.25,0,0.0,1.0,0.0,0.0,0.0,0,0,3776.960000000021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-27,14012.569999999998,0,0.0,0.0,1.0,0.0,0.0,0,0,4491.590000000026,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-28,13064.82,0,0.0,0.0,1.0,0.0,0.0,0,0,3147.3300000000163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2017-03-29,13911.06,0,0.0,0.0,1.0,0.0,0.0,0,0,5221.740000000049,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-30,14750.53,0,0.0,0.0,1.0,0.0,0.0,0,0,5726.6700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-03-31,14243.56,0,0.0,1.0,0.0,0.0,0.0,1,0,3395.130000000063,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-04-01,18290.05,0,0.0,0.0,1.0,0.0,0.0,0,0,3391.6200000000536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-04-02,14055.4,0,0.0,0.0,0.0,1.0,0.0,0,0,912.3300000000745,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-04-03,14837.15,0,0.0,0.0,1.0,0.0,0.0,0,0,1751.7900000000955,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-04-04,12947.14,0,0.0,0.0,1.0,0.0,0.0,0,0,-747.1499999998487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
2017-04-05,12610.13,0,0.0,0.0,1.0,0.0,0.0,0,0,-3001.729999999865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0
2017-04-06,13564.94,0,0.0,0.0,1.0,0.0,0.0,0,0,-3512.199999999895,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-04-07,15871.63,0,0.0,0.0,1.0,0.0,0.0,0,0,-532.0999999998603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-04-08,16801.92,0,0.0,0.0,1.0,0.0,0.0,0,0,-3116.199999999895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2017-04-09,13944.97,0,0.0,0.0,0.0,1.0,0.0,0,0,-3411.109999999928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
