date,Sales
2019-01-14,378.09
2019-01-15,586.62
2019-01-16,772.23
2019-01-17,642.89
2019-01-18,3948.43
2019-01-19,3739.7
2019-01-20,1564.66
2019-01-21,242.81
2019-01-22,245.42
2019-01-23,897.13
2019-01-24,1938.6
2019-01-25,2892.19
2019-01-26,3721.95
2019-01-27,271.94
2019-01-28,437.83
2019-01-29,1695.46
2019-01-30,531.11
2019-01-31,1098.09
2019-02-01,3263.94
2019-02-02,3683.55
2019-02-03,444.35
2019-02-04,582.76
2019-02-05,421.77
2019-02-06,678.49
2019-02-07,1231.64
2019-02-08,4822.47
2019-02-09,4874.41
2019-02-10,994.39
2019-02-11,240.32
2019-02-12,540.91
2019-02-13,594.38
2019-02-14,1440.19
2019-02-15,4386.85
2019-02-16,4557.66
2019-02-17,1396.48
2019-02-18,342.6
2019-02-19,666.32
2019-02-20,461.87
2019-02-21,1280.03
2019-02-22,4207.94
2019-02-23,4878.6
2019-02-24,153.71
2019-02-25,358.75
2019-02-26,692.59
2019-02-27,861.61
2019-02-28,1122.9
2019-03-01,2936.95
2019-03-02,5114.59
2019-03-03,941.88
2019-03-04,735.29
2019-03-05,838.93
2019-03-06,4533
2019-03-07,1222.34
2019-03-08,3865.9
2019-03-09,4017.69
2019-03-10,601.07
2019-03-11,857.7
2019-03-12,472.57
2019-03-13,1057.31
2019-03-14,700.74
2019-03-15,3109.85
2019-03-16,5171.26
2019-03-17,1020.1
2019-03-18,498.94
2019-03-19,1035.46
2019-03-20,466.93
2019-03-21,1017.78
2019-03-22,4002.15
2019-03-23,3970.87
2019-03-24,1293.12
2019-03-25,410.74
2019-03-26,397.42
2019-03-27,450.7
2019-03-28,1507.62
2019-03-29,4543.5
2019-03-30,3976.3
2019-03-31,139.38
2019-04-01,643.99
2019-04-02,1872.45
2019-04-03,1523.14
2019-04-04,2216.43
2019-04-05,3737.75
2019-04-06,4898.6
2019-04-07,214.9
2019-04-08,297.87
2019-04-09,822.65
2019-04-10,1242.29
2019-04-11,2036.4
2019-04-12,3262.55
2019-04-13,3587.28
2019-04-14,309.6
2019-04-15,136
2019-04-16,493.78
2019-04-17,1157.48
2019-04-18,1066.69
2019-04-19,5680.47
2019-04-20,5593.94
2019-04-21,1131.4
2019-04-22,141.7
2019-04-23,700.11
2019-04-24,560.38
2019-04-25,1592.58
2019-04-26,4296.91
2019-04-27,4413.18
2019-04-28,992.31
2019-04-29,732.02
2019-04-30,784.16
2019-05-01,819.91
2019-05-02,887.84
2019-05-03,4310.67
2019-05-04,4761.46
2019-05-05,1211.2
2019-05-06,617.97
2019-05-07,1314.38
2019-05-08,445.83
2019-05-09,1698.47
2019-05-10,3760.18
2019-05-11,4980.95
2019-05-12,264.7
2019-05-13,476.05
2019-05-14,842.99
2019-05-15,865.63
2019-05-16,1105.48
2019-05-17,4443.31
2019-05-18,4534.81
2019-05-19,866.186
2019-05-20,310.44
2019-05-21,672.48
2019-05-22,780.56
2019-05-23,2283.46
2019-05-24,3685.38
2019-05-25,4165.12
2019-05-26,5478.41
2019-05-27,355.83
2019-05-28,432.62
2019-05-29,672.38
2019-05-30,1042.85
2019-05-31,3311.61
2019-06-01,4516.92
2019-06-02,952.45
2019-06-03,0
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,0
2019-06-08,0
2019-06-09,0
2019-06-10,0
2019-06-11,0
